python clean_data.pyShipment_ID,Order_ID,Ship_Date,Delivery_Date,Origin,Destination,Status,Weight_kg,Cost
SH823229,O322439,5/20/2025,4/16/2024,Mumbai,Paris,In Transit,161.28,1492.09
SH726130,O784532,8/2/2024,8/14/2024,Berlin,Sydney,delivered,399.08,935.29
SH326214,O627181,9/16/2024,1/23/2024,Cairo,Los Angeles,In Transit,,1177.81
SH674546,O373414,12/21/2023,12/14/2024,Mumbai,Los Angeles,Returned,202.33,1747.9
SH187122,O902908,10/14/2024,10/16/2024,New York,Los Angeles,Delayed,257.49,1533.5
SH739913,O155285,10/18/2024,12/23/2024,London,Dubai,Delayed,13.08,1668.78
SH850804,O427801,12/29/2023,5/19/2024,New York,Paris,Delayed,,257.32
SH438252,O658417,12/22/2024,8/21/2025,Berlin,Paris,delivered,361.44,999.66
SH474013,O291669,12/3/2023,10/19/2025,Berlin,Sydney,delivered,,376.72
SH836148,O636924,12/8/2023,10/6/2025,Berlin,Sydney,delivered,348.47,1908.53
SH614039,O941763,8/30/2024,8/28/2025,London,Los Angeles,Delayed,155.12,40.05
SH710345,O116349,2/27/2024,9/25/2025,Berlin,Toronto,Delivered,52.81,1801.16
SH883569,O437369,11/14/2023,6/4/2024,London,Sydney,In Transit,452.68,367.98
SH901173,O652874,4/26/2024,4/9/2025,Mumbai,Sydney,delivered,307.45,860.78
SH766664,O321961,12/22/2024,9/17/2025,Cairo,Toronto,Delivered,5.2,1968.77
SH138831,O809651,7/23/2025,8/5/2025,New York,Sydney,Delayed,301.87,1617.74
SH295409,O950630,7/9/2025,10/8/2024,London,Dubai,Delayed,178.38,538.42
SH722283,O244428,11/3/2024,1/1/2025,New York,Dubai,In Transit,98.97,1445.21
SH921315,O887539,12/5/2023,9/6/2025,Berlin,Paris,Delayed,265.06,1473.67
SH227854,O177242,11/6/2023,12/29/2024,Mumbai,Los Angeles,delivered,254.04,1985.79
SH319613,O708562,11/21/2023,9/29/2025,Berlin,Paris,Returned,302.61,937.28
SH148050,O351290,11/20/2023,8/10/2024,London,Sydney,Delayed,57.74,851.35
SH952737,O101521,7/21/2024,9/16/2025,London,Toronto,Delayed,53.02,1838.6
SH986078,O576155,7/10/2024,10/16/2024,Berlin,Dubai,In Transit,248.22,778.09
SH413397,O592440,5/27/2025,7/15/2024,London,Los Angeles,In Transit,,824.66
SH706334,O333111,6/3/2025,9/22/2024,New York,Los Angeles,In Transit,25.02,1101.37
SH269677,O796631,4/11/2025,8/27/2024,Berlin,Toronto,Delayed,350.97,1655.53
SH191578,O313440,5/12/2025,10/17/2024,London,Toronto,Delayed,,453.81
SH929987,O432234,3/6/2025,3/11/2025,Berlin,Los Angeles,Returned,407.87,1981.74
SH201640,O138813,6/24/2024,3/4/2025,New York,Paris,Delayed,365.42,1791.73
SH894998,O111610,11/9/2024,12/9/2024,London,Sydney,delivered,62.77,1367.3
SH633120,O175199,11/20/2024,11/28/2024,New York,Toronto,Delayed,78.45,1147.42
SH564679,O785842,7/17/2025,2/17/2025,Cairo,Sydney,Delivered,250.95,818.8
SH236274,O153234,3/8/2025,3/11/2025,New York,Paris,Delivered,101.08,1672.56
SH138050,O382831,10/2/2025,9/16/2025,Berlin,Paris,Returned,28.18,1515.46
SH361510,O536759,12/25/2023,4/13/2025,Mumbai,Sydney,delivered,380.25,328.23
SH227119,O167043,1/5/2025,1/7/2025,New York,Paris,delivered,201.54,230.67
SH199675,O902159,6/14/2025,7/1/2025,Mumbai,Dubai,Delivered,304.31,60.73
SH469654,O230306,9/4/2024,9/14/2024,Berlin,Toronto,Delayed,106.52,1009.06
SH447370,O296918,12/13/2023,7/7/2025,Cairo,Paris,In Transit,185.91,12.63
SH728621,O924213,2/7/2025,6/21/2025,New York,Toronto,Delayed,187.11,421.59
SH721915,O399462,10/1/2024,1/22/2025,New York,Sydney,delivered,265.91,1593.04
SH227765,O781299,6/2/2024,6/9/2024,Cairo,Sydney,delivered,454.64,607.84
SH158479,O410370,5/31/2025,6/10/2025,Berlin,Dubai,In Transit,281.27,344.43
SH444590,O458678,7/16/2025,8/30/2025,London,Dubai,Delayed,479.27,239.82
SH413748,O862218,10/2/2025,3/18/2025,Mumbai,Dubai,Delivered,372.47,815.34
SH459707,O354867,2/22/2025,4/27/2025,New York,Toronto,delivered,218.46,1264.55
SH131289,O580123,9/24/2025,1/3/2024,Cairo,Sydney,delivered,267.2,1684.92
SH290269,O762689,9/20/2024,7/14/2025,Berlin,Dubai,Returned,380.29,1959.54
SH766599,O661072,4/30/2025,4/21/2024,New York,Dubai,Returned,322.55,1399.6
SH625509,O280031,2/19/2025,3/14/2024,Mumbai,Paris,Delivered,363.39,1615.2
SH892463,O319035,1/15/2024,12/12/2024,Berlin,Toronto,Returned,,590.11
SH432713,O920003,2/27/2025,4/15/2025,London,Sydney,Delivered,166.08,1207.91
SH999756,O855409,6/22/2025,8/17/2025,Mumbai,Paris,Delivered,381.52,1179.2
SH740566,O510969,3/10/2024,3/15/2024,New York,Sydney,Returned,,1911.64
SH128960,O508013,12/16/2023,4/15/2025,Mumbai,Toronto,Delayed,412.19,1896.89
SH733906,O974848,1/25/2025,3/20/2025,New York,Los Angeles,Returned,239.63,1642.85
SH675020,O140740,1/29/2024,2/21/2024,Mumbai,Los Angeles,Returned,,680.64
SH734749,O306841,8/17/2024,7/13/2025,Berlin,Dubai,Delayed,240.96,1952.53
SH442780,O787163,5/5/2025,11/28/2023,London,Los Angeles,delivered,420.45,
SH439599,O166053,5/6/2025,5/16/2025,Berlin,Sydney,Returned,30.61,945.74
SH624731,O420033,4/3/2025,8/3/2025,Mumbai,Los Angeles,In Transit,202.4,626.47
SH593528,O807195,2/10/2025,2/14/2025,New York,Toronto,Delayed,81.58,1385.24
SH810821,O707696,2/7/2024,9/28/2025,Berlin,Toronto,Returned,348.44,1955.95
SH659552,O603042,10/5/2025,7/16/2025,London,Toronto,Delayed,80.07,539.48
SH743484,O206915,12/8/2024,11/21/2024,Cairo,Toronto,Delivered,250.81,1132.49
SH390860,O225234,6/7/2025,6/23/2025,New York,Sydney,In Transit,146.66,99.82
SH195949,O711003,3/27/2025,4/11/2025,Berlin,Toronto,Delivered,188.69,199.24
SH575430,O674532,9/22/2025,10/1/2025,Cairo,Sydney,Delayed,208.88,12.6
SH710191,O853488,8/25/2024,10/26/2023,Berlin,Paris,delivered,5.09,1094.4
SH232791,O619986,8/27/2024,9/9/2025,New York,Paris,In Transit,419.84,670.71
SH903842,O428965,4/26/2025,2/25/2024,Cairo,Paris,In Transit,9.21,182.92
SH526999,O534975,3/12/2024,6/9/2024,Cairo,Sydney,Returned,225.36,
SH192781,O380328,10/16/2025,10/29/2025,London,Paris,delivered,359.47,560.33
SH322546,O524725,3/20/2024,8/20/2024,Mumbai,Sydney,Delayed,188.91,123.9
SH933210,O487707,9/18/2025,9/21/2025,Mumbai,Los Angeles,Delivered,429,1680.47
SH359339,O313300,8/26/2025,7/2/2025,Berlin,Toronto,Delivered,364.24,465.72
SH868665,O611904,12/13/2023,1/28/2025,London,Paris,Delivered,319.7,1239.25
SH348326,O173168,9/24/2025,10/5/2025,Mumbai,Los Angeles,Delivered,277.82,112.94
SH590833,O879766,10/19/2025,9/12/2024,London,Dubai,In Transit,,1292.88
SH273041,O356073,7/10/2025,5/5/2024,Berlin,Sydney,Returned,317.82,684.69
SH728877,O924710,10/3/2025,10/21/2025,Cairo,Toronto,delivered,486.6,957.39
SH150398,O992260,8/30/2025,10/18/2025,London,Los Angeles,delivered,119,94.43
SH189763,O265117,3/24/2024,1/24/2025,Cairo,Paris,In Transit,25.29,660.46
SH777740,O542660,11/18/2023,8/20/2025,Mumbai,Sydney,In Transit,75.52,283.59
SH535559,O432625,5/31/2025,8/7/2024,New York,Paris,Delivered,372.7,619.01
SH208244,O212259,11/15/2024,10/6/2025,London,Sydney,Delivered,123.12,1188.64
SH109831,O244737,1/3/2025,12/3/2023,New York,Dubai,Delivered,411.8,
SH763731,O668525,5/5/2024,7/15/2025,Berlin,Los Angeles,delivered,183.69,1497.15
SH545712,O850003,7/28/2024,8/11/2024,London,Dubai,delivered,192.65,1634.87
SH671818,O419581,12/31/2024,6/10/2025,Cairo,Dubai,Delayed,480.74,849.38
SH772943,O345995,3/20/2024,1/9/2025,Berlin,Toronto,Delivered,140.91,1056.69
SH370288,O389510,5/3/2025,6/24/2025,Cairo,Sydney,Delivered,13.1,871.33
SH975147,O183893,4/4/2025,8/4/2024,New York,Dubai,In Transit,361.72,569.59
SH898251,O941311,12/1/2024,12/15/2024,Berlin,Paris,In Transit,147.36,1992.8
SH731768,O224500,8/19/2024,5/9/2024,Mumbai,Sydney,delivered,285.15,751.35
SH766779,O818531,11/20/2024,5/25/2025,Berlin,Sydney,Returned,274.29,160.46
SH491029,O668724,3/15/2024,12/21/2024,London,Los Angeles,delivered,187.2,
SH405996,O670155,12/26/2024,4/5/2025,Mumbai,Paris,Delivered,458.49,1657.95
SH740902,O165559,1/1/2024,7/14/2025,Cairo,Los Angeles,Delivered,265.53,1608.57
SH227558,O940625,1/28/2024,10/3/2024,Cairo,Dubai,In Transit,245.66,91.71
SH513462,O842822,4/15/2025,10/1/2025,New York,Toronto,In Transit,,1254.51
SH570708,O465382,2/4/2025,7/9/2024,London,Paris,Delayed,83.91,
SH630919,O748125,11/11/2024,9/26/2025,Berlin,Paris,delivered,303.78,1416.67
SH532170,O663626,1/10/2024,6/21/2025,Cairo,Dubai,Returned,141.72,405.95
SH727454,O946601,9/6/2025,9/29/2025,Mumbai,Dubai,In Transit,269.37,1146.18
SH328981,O304442,4/18/2024,12/27/2024,London,Dubai,delivered,12.57,1185.94
SH648126,O502602,8/26/2024,11/9/2023,New York,Dubai,In Transit,128.64,920.62
SH878701,O831349,8/8/2024,2/12/2025,London,Toronto,Delayed,32.66,1702.58
SH100930,O732652,8/1/2025,5/15/2024,Cairo,Paris,Delayed,146.68,633.91
SH822129,O186181,8/19/2024,8/28/2024,New York,Los Angeles,Delivered,71.86,296.29
SH947573,O352273,4/28/2025,10/26/2024,New York,Sydney,In Transit,103.45,1231.35
SH171208,O874556,1/9/2024,8/31/2025,New York,Dubai,In Transit,375.88,1904.31
SH198944,O921090,1/25/2025,2/11/2025,Cairo,Sydney,In Transit,154.02,801.13
SH564627,O449388,11/12/2023,4/17/2025,New York,Toronto,In Transit,5.17,1297.18
SH756216,O335088,3/9/2025,8/16/2025,New York,Toronto,Delayed,391.09,1163.42
SH356468,O669277,4/26/2025,3/25/2024,New York,Dubai,In Transit,498.2,1416.65
