Shipment_ID,Order_ID,Ship_Date,Delivery_Date,Origin,Destination,Status,Weight_kg,Cost,Shipping_Days,Cost_per_kg,Is_Delayed
SH292389,O979145,3/23/2024,4/4/2025,London,Dubai,Delayed,483.6,1404.91,377,2.905107527,1
SH474593,O166672,11/18/2023,8/13/2025,Cairo,Toronto,Delayed,368.01,406.61,634,1.104888454,1
SH123302,O892285,11/21/2024,12/1/2024,Cairo,Dubai,Delayed,163.18,1753.22,10,10.74408629,1
SH853664,O815869,4/12/2024,2/24/2025,Berlin,Los Angeles,Delayed,63.46,1139.23,318,17.95193823,1
SH293965,O212476,1/6/2024,3/25/2024,Berlin,Sydney,Delivered,310.15,1777.39,79,5.730743189,0
SH277452,O990545,7/15/2025,9/24/2025,New York,Los Angeles,delivered,487.38,1541.86,71,3.163568468,0
SH298705,O319082,1/7/2024,12/12/2024,Mumbai,Sydney,In Transit,470.3,20.36,340,0.043291516,0
SH832226,O789124,7/5/2024,7/23/2024,Mumbai,Paris,Returned,463.91,1897.13,18,4.089435451,0
SH465950,O363596,7/8/2025,9/8/2024,New York,Los Angeles,Delayed,8.43,1659.9,-303,196.9039146,1
SH557728,O910923,9/25/2025,8/8/2024,New York,Dubai,Returned,153.57,1249.25,-413,8.134726835,0
SH983077,O190129,1/23/2024,7/7/2025,New York,Dubai,Delivered,328.22,807.53,531,2.460331485,0
SH848236,O609427,9/22/2024,4/22/2025,New York,Toronto,delivered,252.91,999.395,212,3.951583567,0
SH135702,O153064,1/10/2024,4/14/2024,New York,Toronto,delivered,494.37,1568.17,95,3.172057366,0
SH476801,O754814,8/1/2024,6/12/2024,Berlin,Toronto,In Transit,479.44,1527.48,-50,3.185966961,0
SH823505,O271665,11/15/2023,8/23/2024,New York,Dubai,Delayed,254.49,496.84,282,1.95229675,1
SH775298,O878304,5/3/2024,10/7/2025,Berlin,Los Angeles,Delayed,428.99,623.52,522,1.453460454,1
SH136511,O478670,10/30/2023,10/3/2025,Cairo,Paris,Delayed,55.32,1144.71,704,20.69251627,1
SH370851,O668628,10/2/2024,1/16/2025,London,Sydney,In Transit,125.7,1005.43,106,7.998647574,0
SH752197,O202761,5/2/2025,5/3/2025,London,Sydney,In Transit,439.79,1708.81,1,3.885513541,0
SH687624,O114557,2/17/2025,2/27/2025,London,Los Angeles,Delivered,252.92,1545.26,10,6.10967895,0
SH468785,O331067,6/1/2025,6/9/2025,Cairo,Los Angeles,Delivered,108.25,1569.86,8,14.5021709,0
SH371979,O757838,7/29/2024,5/1/2024,Mumbai,Paris,In Transit,413.56,1919.98,-89,4.642566979,0
SH335483,O987002,6/10/2025,7/30/2024,Cairo,Dubai,In Transit,395.96,1248.39,-315,3.152818467,0
SH694418,O437662,8/3/2025,2/14/2024,Berlin,Paris,Delivered,97.96,1458.34,-536,14.88709677,0
SH381226,O831410,6/16/2025,10/28/2023,Cairo,Paris,delivered,135.17,1795.53,-597,13.28349486,0
SH864674,O574076,3/4/2024,10/15/2025,London,Sydney,Delivered,172.73,212.23,590,1.2286806,0
SH987184,O243440,3/13/2025,4/1/2025,Cairo,Paris,Returned,254.49,1470.6,19,5.778616056,0
SH225339,O207582,11/18/2024,11/22/2024,Mumbai,Paris,Delayed,287.51,1692.2,4,5.885708323,1
SH139163,O955259,10/17/2025,9/4/2024,London,Paris,Delivered,221.13,999.395,-408,4.519490797,0
SH249314,O582589,4/25/2024,4/27/2025,Cairo,Dubai,In Transit,431.93,1930.76,367,4.47007617,0
SH699479,O576665,11/25/2023,5/7/2025,New York,Los Angeles,Returned,331.77,1935.34,529,5.833378545,0
SH894775,O308244,10/1/2024,12/23/2024,New York,Paris,delivered,372.21,1543.74,83,4.147497381,0
SH175204,O265247,3/1/2024,3/21/2025,Mumbai,Sydney,Delayed,244.26,142.06,385,0.581593384,1
SH210271,O352405,12/31/2023,7/21/2024,Berlin,Los Angeles,Delayed,490.22,844.68,203,1.723063115,1
SH100359,O362262,2/18/2024,9/10/2025,London,Toronto,Delayed,331.07,1554.73,570,4.696076358,1
SH809533,O282288,4/23/2024,3/10/2025,New York,Dubai,delivered,167.88,999.395,321,5.953031928,0
SH695899,O371849,12/16/2023,3/11/2025,Berlin,Toronto,Delayed,475.24,1695.84,451,3.568386499,1
SH159910,O734056,5/16/2025,2/8/2024,Cairo,Dubai,In Transit,254.49,39.35,-463,0.154622971,0
SH382124,O405267,9/19/2025,8/8/2025,London,Los Angeles,Delayed,254.49,1105.29,-42,4.343156902,1
SH125338,O130339,2/10/2024,9/17/2025,London,Los Angeles,delivered,113.96,1845.19,585,16.19155844,0
SH158508,O742451,10/9/2025,8/13/2025,Mumbai,Los Angeles,Delivered,254.29,1042.44,-57,4.099414055,0
SH911289,O161453,5/13/2025,12/18/2023,Cairo,Paris,Returned,436.1,500.05,-512,1.146640679,0
SH223792,O905841,9/14/2024,1/18/2024,Cairo,Los Angeles,Delayed,117.95,282.97,-240,2.399067401,1
SH493110,O975435,5/2/2024,9/28/2024,Berlin,Paris,Delivered,346.27,99.42,149,0.28711699,0
SH706077,O127304,8/7/2025,4/22/2024,Mumbai,Dubai,Delayed,455.89,1539.96,-472,3.377920112,1
SH332120,O759885,4/1/2024,5/12/2025,New York,Los Angeles,Returned,164.23,159.34,406,0.970224685,0
SH122673,O866092,11/27/2024,11/20/2023,Mumbai,Dubai,Returned,336.42,524.33,-373,1.558557755,0
SH807864,O710149,10/14/2025,10/28/2025,New York,Los Angeles,Delayed,397.97,1118.25,14,2.809885167,1
SH383424,O530064,5/1/2025,2/15/2024,Mumbai,Paris,In Transit,343.31,347.46,-441,1.0120882,0
SH724879,O433695,12/29/2024,5/8/2025,Cairo,Toronto,Returned,254.49,1165.06,130,4.578018783,0
SH252794,O676195,9/23/2024,2/7/2024,New York,Dubai,Delayed,243.26,1413.86,-229,5.812135164,1
SH339118,O989290,7/4/2025,2/16/2025,London,Dubai,Delivered,106.47,904.25,-138,8.493002724,0
SH158273,O654918,4/20/2025,7/16/2025,Cairo,Toronto,Delivered,477.77,629.79,87,1.318186575,0
SH245170,O315770,1/31/2024,7/22/2024,Berlin,Sydney,Returned,83.67,293.46,173,3.507350305,0
SH923099,O521396,6/13/2025,6/15/2025,London,Paris,delivered,496.43,967.64,2,1.949197268,0
SH184144,O945483,1/5/2025,1/19/2025,London,Toronto,delivered,84.8,999.395,14,11.7853184,0
SH652494,O452000,9/27/2025,2/26/2025,Cairo,Toronto,Delayed,310.53,708.77,-213,2.282452581,1
SH215252,O557149,4/6/2024,12/10/2023,London,Toronto,In Transit,239.51,194.21,-118,0.810863847,0
SH294891,O313433,10/9/2025,10/23/2025,Mumbai,Toronto,Delivered,254.49,927.36,14,3.64399387,0
SH326634,O416175,12/31/2023,3/25/2025,London,Dubai,Delayed,217.06,1469.54,450,6.770201788,1
SH498185,O989839,7/13/2024,7/22/2024,Mumbai,Paris,Returned,46.33,999.395,9,21.57122815,0
SH813210,O917884,2/17/2025,11/26/2023,Mumbai,Dubai,Delayed,477.27,999.395,-449,2.093982442,1
SH947131,O783001,6/25/2025,7/25/2025,Mumbai,Paris,Returned,34.51,636.42,30,18.44161113,0
SH146543,O970639,10/6/2025,12/10/2023,Mumbai,Paris,In Transit,194.28,1325.07,-666,6.820413836,0
SH842384,O298400,10/20/2025,6/6/2024,Berlin,Los Angeles,Delayed,252.8,941.77,-501,3.725356013,1
SH416604,O816088,9/2/2025,8/3/2025,London,Sydney,Delayed,302.6,890.67,-30,2.943390615,1
SH288969,O564022,12/8/2023,10/7/2025,Mumbai,Dubai,Delayed,455.34,1004.35,669,2.205714411,1
SH288097,O984214,3/24/2025,6/2/2025,Mumbai,Paris,Returned,44.94,590.65,70,13.14307966,0
SH931459,O957661,2/10/2024,5/10/2024,Mumbai,Sydney,Returned,157.55,594.55,90,3.773722628,0
SH794426,O398464,9/15/2025,3/13/2025,Mumbai,Dubai,Returned,445.25,1513.4,-186,3.398989332,0
SH798634,O919430,8/1/2025,8/30/2024,New York,Sydney,Delivered,108.84,1046.51,-336,9.615123117,0
SH225974,O985441,8/12/2024,8/26/2025,New York,Los Angeles,Returned,272.51,56.02,379,0.205570438,0
SH472133,O322953,4/6/2025,2/18/2024,Berlin,Paris,Returned,198.75,11.16,-413,0.056150943,0
SH742477,O760402,5/23/2025,9/25/2025,London,Sydney,Returned,254.49,881.46,125,3.463633149,0
SH818522,O737331,5/7/2024,3/21/2025,London,Dubai,Delivered,273.21,1179.41,318,4.316862487,0
SH509148,O376100,8/1/2025,8/26/2024,London,Los Angeles,In Transit,290.96,307.79,-340,1.057843002,0
SH110245,O560617,7/28/2025,6/21/2025,Mumbai,Los Angeles,Returned,38.87,1411.11,-37,36.30331875,0
SH133194,O288789,1/26/2024,3/29/2025,New York,Dubai,Delivered,71.53,397.71,428,5.560044736,0
SH106348,O751018,7/31/2024,5/5/2025,Mumbai,Sydney,Delayed,44.67,1608.03,278,35.99798522,1
SH789409,O678677,5/3/2025,8/4/2025,Berlin,Toronto,delivered,218.08,412.89,93,1.893296038,0
SH112158,O213357,10/17/2025,3/27/2025,New York,Paris,Delivered,121.08,16.59,-204,0.137016848,0
SH833197,O412729,3/19/2025,6/10/2025,New York,Toronto,In Transit,192.08,1785.63,83,9.296282799,0
SH835144,O349171,8/3/2024,8/8/2024,New York,Dubai,In Transit,109.28,1366.68,5,12.50622255,0
SH499405,O230562,12/28/2024,9/29/2024,London,Dubai,In Transit,367.77,754.76,-90,2.052260924,0
SH461460,O450064,10/11/2025,12/16/2023,Berlin,Paris,delivered,33.33,218.95,-665,6.569156916,0
SH662787,O797955,1/7/2024,6/28/2024,Berlin,Los Angeles,delivered,390.06,999.395,173,2.562157104,0
SH890178,O393146,4/12/2024,3/27/2025,Mumbai,Toronto,Delivered,3.12,607.04,349,194.5641026,0
SH691677,O860834,9/3/2025,10/13/2025,Mumbai,Dubai,Delayed,138.07,307.07,40,2.224016803,1
SH470673,O641012,12/31/2024,4/10/2025,Mumbai,Sydney,In Transit,171.19,1084.7,100,6.336234593,0
SH924710,O244800,10/10/2024,10/23/2024,Cairo,Toronto,Delivered,42.37,805.42,13,19.00920463,0
SH596584,O766072,10/5/2025,12/12/2023,London,Paris,Delayed,391.09,1359.24,-663,3.475517144,1
SH108127,O220032,1/5/2024,12/15/2024,Cairo,Dubai,Delivered,207.66,1342.95,345,6.467061543,0
SH755089,O931723,10/11/2024,1/1/2025,London,Dubai,Delayed,377.16,999.395,82,2.64979054,1
SH706605,O194170,6/17/2025,6/29/2025,Cairo,Toronto,Returned,159.35,102.24,12,0.641606527,0
SH239824,O556147,7/4/2024,11/23/2023,Berlin,Sydney,Delayed,371.78,1970.48,-224,5.300123729,1
SH769495,O839852,5/6/2024,5/1/2025,Mumbai,Paris,Delivered,35.37,1577.49,360,44.59966073,0
SH234182,O425850,1/20/2024,12/17/2024,Cairo,Paris,Returned,79.79,1527.15,332,19.13961649,0
SH960159,O192357,4/24/2025,9/3/2025,Berlin,Paris,delivered,175.02,493.55,132,2.819963433,0
SH860984,O185564,12/13/2023,3/9/2025,New York,Dubai,Delayed,362.89,1262.88,452,3.480062829,1
SH334070,O207623,8/1/2025,9/20/2024,Mumbai,Dubai,In Transit,349.26,23.18,-315,0.066368894,0
SH215576,O590412,9/4/2025,7/1/2025,Berlin,Sydney,Delivered,463.89,1428.8,-65,3.080040527,0
SH534418,O140710,3/14/2024,6/1/2025,New York,Sydney,delivered,462.82,1818.32,444,3.928784409,0
SH610342,O360371,12/28/2023,6/26/2025,Berlin,Toronto,Delivered,389.95,785.18,546,2.013540197,0
SH464839,O574696,3/25/2024,2/12/2024,New York,Paris,Returned,364.77,203.29,-42,0.557310086,0
SH778910,O474016,5/25/2025,6/12/2025,London,Los Angeles,Returned,158.5,792.2,18,4.998107256,0
SH943182,O340134,7/14/2025,7/23/2025,London,Sydney,Delayed,203.07,1642.05,9,8.086127936,1
SH385310,O206579,4/28/2024,2/11/2025,Cairo,Toronto,In Transit,452.12,1955.96,289,4.326196585,0
SH359622,O594895,6/13/2025,12/8/2023,Berlin,Toronto,Delivered,469.01,1138.83,-553,2.428157182,0
SH967472,O447760,11/6/2024,11/20/2024,Berlin,Los Angeles,Returned,88.17,648.25,14,7.352274016,0
SH926925,O287078,1/28/2024,4/5/2024,New York,Paris,Delivered,349.33,1134.92,68,3.248847794,0
SH100249,O224302,12/19/2024,8/19/2025,Mumbai,Los Angeles,Delayed,344.7,377.34,243,1.094691036,1
SH320871,O375908,5/21/2024,10/18/2024,London,Dubai,Delivered,269.15,690.75,150,2.566412781,0
SH572395,O575580,7/30/2024,9/29/2024,Cairo,Dubai,Delivered,475.7,474.9,61,0.998318268,0
SH103222,O436343,11/8/2023,10/30/2023,Mumbai,Paris,Delivered,373.3,1625.28,-9,4.353817305,0
SH687610,O634024,9/15/2025,7/25/2024,Cairo,Sydney,In Transit,482.2,101.99,-417,0.211509747,0
SH415369,O738527,12/29/2023,6/2/2025,Mumbai,Dubai,delivered,174.83,198.92,521,1.137790997,0
SH280398,O124077,8/9/2024,6/15/2025,Cairo,Dubai,In Transit,299.59,397.82,310,1.327881438,0
SH368920,O551494,2/16/2025,3/4/2025,London,Sydney,Delayed,160.17,287.18,16,1.792969969,1
SH399712,O289918,6/11/2025,2/18/2024,New York,Dubai,In Transit,316.2,999.395,-479,3.160641999,0
SH220539,O996767,4/15/2025,11/14/2024,New York,Dubai,Delayed,151.97,1327.44,-152,8.734881885,1
SH905488,O584840,6/17/2025,9/16/2024,Cairo,Toronto,Delayed,184.77,716.24,-274,3.876386859,1
SH352810,O643728,7/12/2024,7/17/2025,Berlin,Paris,Delivered,334.83,474.47,370,1.417047457,0
SH248963,O177267,7/10/2025,7/28/2025,Cairo,Toronto,Delayed,170.49,942.17,18,5.526247874,1
SH305428,O521301,12/12/2024,7/4/2025,New York,Los Angeles,Delivered,450.71,1727.52,204,3.832885891,0
SH640892,O787138,9/28/2024,4/2/2025,Cairo,Toronto,Returned,281.43,541.41,186,1.923782113,0
SH471839,O111937,7/19/2025,7/24/2025,London,Toronto,Delivered,60.78,1761.45,5,28.98075025,0
SH801537,O849149,10/25/2024,10/2/2024,Mumbai,Paris,Returned,254.49,957.01,-23,3.760501395,0
SH626680,O728942,6/13/2025,6/9/2024,London,Paris,Delayed,420.39,1577.59,-369,3.752682033,1
SH325181,O483890,12/13/2024,4/11/2024,New York,Sydney,delivered,86.14,1799.02,-246,20.88483863,0
SH765695,O419595,2/10/2025,6/6/2024,New York,Toronto,delivered,42.88,304.81,-249,7.108442164,0
SH953991,O894389,7/6/2025,7/14/2025,Berlin,Dubai,Returned,448.17,673.06,8,1.501796193,0
SH653363,O735263,10/11/2025,10/28/2024,New York,Dubai,In Transit,76.52,600.96,-348,7.853633037,0
SH153297,O531396,10/31/2024,11/4/2024,London,Dubai,delivered,112.4,29.09,4,0.258807829,0
SH518350,O626499,8/7/2025,6/26/2025,London,Paris,Delivered,461.8,1522.89,-42,3.297726288,0
SH106941,O471962,5/18/2025,9/10/2025,London,Sydney,Returned,433.25,941.5,115,2.173110214,0
SH442936,O731162,1/6/2025,3/9/2025,New York,Los Angeles,delivered,300.4,1031.28,62,3.433022636,0
SH763911,O108908,2/21/2024,2/14/2025,New York,Dubai,In Transit,102.62,999.395,359,9.738793607,0
SH649005,O872211,7/6/2024,6/19/2024,New York,Los Angeles,delivered,150.44,1778.49,-17,11.82192236,0
SH839854,O141510,5/29/2025,6/16/2025,Berlin,Los Angeles,Delivered,364.12,1993.81,18,5.475694826,0
SH478058,O640131,1/12/2024,8/13/2025,London,Los Angeles,Delayed,354.93,409.07,579,1.15253712,1
SH838961,O774362,8/3/2024,10/11/2024,New York,Sydney,Delayed,213.58,260.92,69,1.221649967,1
SH626515,O988619,3/25/2025,4/6/2025,London,Toronto,Returned,366.85,999.395,12,2.724260597,0
SH822579,O413775,9/9/2025,10/15/2025,Berlin,Dubai,Delivered,24.48,277.05,36,11.31740196,0
SH886067,O727286,5/11/2024,6/16/2024,Berlin,Toronto,In Transit,76,989.76,36,13.02315789,0
SH492868,O853849,11/10/2024,11/15/2024,Berlin,Toronto,In Transit,295.45,193.5,5,0.654933153,0
SH674714,O461657,7/19/2024,10/21/2024,Mumbai,Los Angeles,Delivered,236.94,7.67,94,0.032371064,0
SH957865,O457360,8/16/2024,4/19/2024,Mumbai,Paris,delivered,153.31,1857.55,-119,12.11630031,0
SH542717,O310778,5/3/2025,11/2/2023,New York,Sydney,Delivered,86.65,448.64,-548,5.177611079,0
SH747975,O614955,3/11/2025,3/14/2025,New York,Paris,delivered,32.25,866.52,3,26.86883721,0
SH561858,O501646,4/17/2024,4/22/2024,Mumbai,Los Angeles,delivered,377.84,480.07,5,1.27056426,0
SH212016,O451903,8/14/2024,11/6/2023,Mumbai,Sydney,Delivered,465.47,886.51,-282,1.904548091,0
SH304000,O882682,7/30/2024,8/12/2024,London,Dubai,Delivered,410.06,488.22,13,1.190606253,0
SH140460,O455749,1/5/2025,10/29/2023,New York,Dubai,In Transit,149.63,1870.22,-434,12.49896411,0
SH670020,O608202,10/21/2025,12/26/2024,New York,Toronto,Delayed,181.47,1213.08,-299,6.68474128,1
SH145531,O658010,12/4/2024,12/16/2024,Mumbai,Los Angeles,Returned,300.32,402.68,12,1.340836441,0
SH767864,O839757,12/11/2024,3/8/2025,New York,Paris,Delivered,200.53,306.45,87,1.528200269,0
SH567628,O140298,3/14/2025,2/1/2024,Cairo,Los Angeles,In Transit,299.83,1171.37,-407,3.906780509,0
SH665985,O283442,5/8/2024,1/25/2024,Cairo,Sydney,In Transit,45.27,862.82,-104,19.05942125,0
SH233450,O441266,11/24/2023,9/26/2024,Mumbai,Sydney,Delayed,103.74,1845.23,307,17.78706381,1
SH256569,O155344,11/28/2023,7/13/2024,New York,Toronto,Delivered,126.02,643.81,228,5.108792255,0
SH536618,O197568,2/1/2025,2/23/2024,London,Paris,In Transit,275.1,587.77,-344,2.136568521,0
SH800099,O501101,1/8/2025,1/10/2025,Cairo,Toronto,Delayed,351,1935.35,2,5.513817664,1
SH363072,O637126,9/3/2025,9/14/2025,New York,Sydney,Returned,137.23,1759.62,11,12.82241492,0
SH692741,O735199,9/15/2025,2/15/2025,Cairo,Los Angeles,delivered,251.31,1020.03,-212,4.058851618,0
SH654116,O994014,4/24/2025,5/13/2024,Berlin,Toronto,delivered,408.27,614.28,-346,1.504592549,0
SH265818,O581742,2/16/2025,4/25/2025,London,Los Angeles,Delayed,442.04,1631.99,68,3.691950955,1
SH637253,O216439,10/11/2025,10/29/2025,Mumbai,Paris,In Transit,458.53,999.395,18,2.179562951,0
SH462158,O510215,8/12/2025,8/30/2025,Mumbai,Toronto,Delivered,331.99,1884.05,18,5.675020332,0
SH450335,O100654,5/14/2024,10/2/2024,London,Toronto,Returned,455.61,808.6,141,1.774763504,0
SH922497,O647859,9/18/2024,10/12/2024,London,Los Angeles,delivered,68.05,1067.53,24,15.68743571,0
SH541329,O987256,11/9/2024,11/11/2024,Berlin,Toronto,Delayed,228.96,1461.44,2,6.382948987,1
SH708839,O517987,2/21/2024,5/22/2024,London,Paris,Returned,318.76,1292.37,91,4.054366922,0
SH717539,O822968,12/5/2024,6/17/2025,New York,Los Angeles,delivered,440.61,1148.33,194,2.60622773,0
SH748169,O667490,5/16/2024,6/22/2024,London,Toronto,Delivered,70.13,897.99,37,12.80464851,0
SH439657,O250064,7/9/2024,10/25/2024,Mumbai,Toronto,Returned,426.65,369.72,108,0.8665651,0
SH823229,O322439,5/20/2025,4/16/2024,Mumbai,Paris,In Transit,161.28,1492.09,-399,9.251550099,0
SH726130,O784532,8/2/2024,8/14/2024,Berlin,Sydney,delivered,399.08,935.29,12,2.343615315,0
SH326214,O627181,9/16/2024,1/23/2024,Cairo,Los Angeles,In Transit,254.49,1177.81,-237,4.628118983,0
SH674546,O373414,12/21/2023,12/14/2024,Mumbai,Los Angeles,Returned,202.33,1747.9,359,8.638857312,0
SH187122,O902908,10/14/2024,10/16/2024,New York,Los Angeles,Delayed,257.49,1533.5,2,5.95557109,1
SH739913,O155285,10/18/2024,12/23/2024,London,Dubai,Delayed,13.08,1668.78,66,127.5825688,1
SH850804,O427801,12/29/2023,5/19/2024,New York,Paris,Delayed,254.49,257.32,142,1.01112028,1
SH438252,O658417,12/22/2024,8/21/2025,Berlin,Paris,delivered,361.44,999.66,242,2.765770252,0
SH474013,O291669,12/3/2023,10/19/2025,Berlin,Sydney,delivered,254.49,376.72,686,1.480293921,0
SH836148,O636924,12/8/2023,10/6/2025,Berlin,Sydney,delivered,348.47,1908.53,668,5.476884667,0
SH614039,O941763,8/30/2024,8/28/2025,London,Los Angeles,Delayed,155.12,40.05,363,0.25818721,1
SH710345,O116349,2/27/2024,9/25/2025,Berlin,Toronto,Delivered,52.81,1801.16,576,34.10641924,0
SH883569,O437369,11/14/2023,6/4/2024,London,Sydney,In Transit,452.68,367.98,203,0.812892109,0
SH901173,O652874,4/26/2024,4/9/2025,Mumbai,Sydney,delivered,307.45,860.78,348,2.799739795,0
SH766664,O321961,12/22/2024,9/17/2025,Cairo,Toronto,Delivered,5.2,1968.77,269,378.6096154,0
SH138831,O809651,7/23/2025,8/5/2025,New York,Sydney,Delayed,301.87,1617.74,13,5.359061848,1
SH295409,O950630,7/9/2025,10/8/2024,London,Dubai,Delayed,178.38,538.42,-274,3.018387712,1
SH722283,O244428,11/3/2024,1/1/2025,New York,Dubai,In Transit,98.97,1445.21,59,14.60250581,0
SH921315,O887539,12/5/2023,9/6/2025,Berlin,Paris,Delayed,265.06,1473.67,641,5.559760054,1
SH227854,O177242,11/6/2023,12/29/2024,Mumbai,Los Angeles,delivered,254.04,1985.79,419,7.816839868,0
SH319613,O708562,11/21/2023,9/29/2025,Berlin,Paris,Returned,302.61,937.28,678,3.097319983,0
SH148050,O351290,11/20/2023,8/10/2024,London,Sydney,Delayed,57.74,851.35,264,14.74454451,1
SH952737,O101521,7/21/2024,9/16/2025,London,Toronto,Delayed,53.02,1838.6,422,34.6774802,1
SH986078,O576155,7/10/2024,10/16/2024,Berlin,Dubai,In Transit,248.22,778.09,98,3.134678914,0
SH413397,O592440,5/27/2025,7/15/2024,London,Los Angeles,In Transit,254.49,824.66,-316,3.240441668,0
SH706334,O333111,6/3/2025,9/22/2024,New York,Los Angeles,In Transit,25.02,1101.37,-254,44.01958433,0
SH269677,O796631,4/11/2025,8/27/2024,Berlin,Toronto,Delayed,350.97,1655.53,-227,4.71701285,1
SH191578,O313440,5/12/2025,10/17/2024,London,Toronto,Delayed,254.49,453.81,-207,1.783213486,1
SH929987,O432234,3/6/2025,3/11/2025,Berlin,Los Angeles,Returned,407.87,1981.74,5,4.858754015,0
SH201640,O138813,6/24/2024,3/4/2025,New York,Paris,Delayed,365.42,1791.73,253,4.903207268,1
SH894998,O111610,11/9/2024,12/9/2024,London,Sydney,delivered,62.77,1367.3,30,21.78269874,0
SH633120,O175199,11/20/2024,11/28/2024,New York,Toronto,Delayed,78.45,1147.42,8,14.62613129,1
SH564679,O785842,7/17/2025,2/17/2025,Cairo,Sydney,Delivered,250.95,818.8,-150,3.262801355,0
SH236274,O153234,3/8/2025,3/11/2025,New York,Paris,Delivered,101.08,1672.56,3,16.54689355,0
SH138050,O382831,10/2/2025,9/16/2025,Berlin,Paris,Returned,28.18,1515.46,-16,53.77785664,0
SH361510,O536759,12/25/2023,4/13/2025,Mumbai,Sydney,delivered,380.25,328.23,475,0.863195266,0
SH227119,O167043,1/5/2025,1/7/2025,New York,Paris,delivered,201.54,230.67,2,1.144537065,0
SH199675,O902159,6/14/2025,7/1/2025,Mumbai,Dubai,Delivered,304.31,60.73,17,0.199566232,0
SH469654,O230306,9/4/2024,9/14/2024,Berlin,Toronto,Delayed,106.52,1009.06,10,9.472962824,1
SH447370,O296918,12/13/2023,7/7/2025,Cairo,Paris,In Transit,185.91,12.63,572,0.067936098,0
SH728621,O924213,2/7/2025,6/21/2025,New York,Toronto,Delayed,187.11,421.59,134,2.253166586,1
SH721915,O399462,10/1/2024,1/22/2025,New York,Sydney,delivered,265.91,1593.04,113,5.990899176,0
SH227765,O781299,6/2/2024,6/9/2024,Cairo,Sydney,delivered,454.64,607.84,7,1.33696991,0
SH158479,O410370,5/31/2025,6/10/2025,Berlin,Dubai,In Transit,281.27,344.43,10,1.224552921,0
SH444590,O458678,7/16/2025,8/30/2025,London,Dubai,Delayed,479.27,239.82,45,0.500386004,1
SH413748,O862218,10/2/2025,3/18/2025,Mumbai,Dubai,Delivered,372.47,815.34,-198,2.189008511,0
SH459707,O354867,2/22/2025,4/27/2025,New York,Toronto,delivered,218.46,1264.55,64,5.788473862,0
SH131289,O580123,9/24/2025,1/3/2024,Cairo,Sydney,delivered,267.2,1684.92,-630,6.305838323,0
SH290269,O762689,9/20/2024,7/14/2025,Berlin,Dubai,Returned,380.29,1959.54,297,5.152751847,0
SH766599,O661072,4/30/2025,4/21/2024,New York,Dubai,Returned,322.55,1399.6,-374,4.339172221,0
SH625509,O280031,2/19/2025,3/14/2024,Mumbai,Paris,Delivered,363.39,1615.2,-342,4.44481136,0
SH892463,O319035,1/15/2024,12/12/2024,Berlin,Toronto,Returned,254.49,590.11,332,2.318794452,0
SH432713,O920003,2/27/2025,4/15/2025,London,Sydney,Delivered,166.08,1207.91,47,7.273061175,0
SH999756,O855409,6/22/2025,8/17/2025,Mumbai,Paris,Delivered,381.52,1179.2,56,3.090794716,0
SH740566,O510969,3/10/2024,3/15/2024,New York,Sydney,Returned,254.49,1911.64,5,7.511650752,0
SH128960,O508013,12/16/2023,4/15/2025,Mumbai,Toronto,Delayed,412.19,1896.89,486,4.60197967,1
SH733906,O974848,1/25/2025,3/20/2025,New York,Los Angeles,Returned,239.63,1642.85,54,6.855777657,0
